Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
06/20/2021,25,US,"267,416","324,901,759","759,924","110,794","179,618,704","299,013",Admin,"267,416","759,925","169,690","154,160,291","500,728"
06/20/2021,25,LTC,573,"7,874,057","1,484",333,"4,643,523","-38,431",Report,573,"1,484",0,0,0
06/20/2021,25,LTC,16,"7,884,765","1,224",3,"4,649,894",807,Admin,16,"1,224",13,"3,190,390",731
06/19/2021,24,LTC,"1,849","7,873,484","1,710","1,289","4,643,190","-38,265",Report,"1,849","1,710",0,0,0
06/19/2021,24,US,"558,078","324,634,343","776,265","229,377","179,507,910","299,539",Admin,"558,078","776,266","356,412","153,990,601","517,319"
06/19/2021,24,LTC,28,"7,884,749","1,228",13,"4,649,891",808,Admin,28,"1,229",14,"3,190,377",734
06/19/2021,24,US,"1,069,021","317,117,797","1,286,438","446,892","176,737,141","477,919",Report,"1,069,021","1,286,438","666,161","149,125,164","858,012"
06/18/2021,24,US,"891,248","324,076,265","820,964","363,980","179,278,533","307,353",Admin,"891,248","820,964","573,771","153,634,189","554,990"
06/18/2021,24,LTC,"1,741","7,871,635","1,766","1,107","4,641,901","-38,249",Report,"1,741","1,766",0,0,0
06/18/2021,24,LTC,"1,024","7,884,721","1,235",659,"4,649,878",810,Admin,"1,024","1,235",463,"3,190,363",741
06/18/2021,24,US,"1,079,390","316,048,776","1,362,712","422,389","176,290,249","504,557",Report,"1,079,390","1,362,712","700,418","148,459,003","909,067"
06/17/2021,24,US,"2,054,216","314,969,386","1,325,967","814,459","175,867,860","492,036",Report,"2,054,216","1,325,967","1,302,461","147,758,585","882,190"
06/17/2021,24,US,"862,063","323,185,017","864,481","346,591","178,914,553","316,426",Admin,"862,063","864,482","566,361","153,060,418","590,484"
06/17/2021,24,LTC,"2,344","7,883,697","1,298","1,586","4,649,219",838,Admin,"2,344","1,299","1,470","3,189,900",795
06/17/2021,24,LTC,"3,445","7,869,894","1,764","2,139","4,640,794","-38,280",Report,"3,445","1,764",0,0,0
06/16/2021,24,US,"1,028,496","312,915,170","1,165,956","379,257","175,053,401","428,446",Report,"1,028,496","1,165,956","687,757","146,456,124","782,287"
06/16/2021,24,LTC,"2,317","7,881,353","1,311","1,570","4,647,633",859,Admin,"2,317","1,312","1,515","3,188,430",812
06/16/2021,24,US,"912,244","322,322,954","903,499","354,270","178,567,962","325,278",Admin,"912,244","903,499","606,947","152,494,057","621,156"
06/16/2021,24,LTC,73,"7,866,449","1,410",18,"4,638,655","-38,491",Report,73,"1,410",0,0,0
06/15/2021,24,LTC,"2,013","7,866,376","1,454","1,374","4,638,637","-38,459",Report,"2,013","1,454",0,0,0
06/15/2021,24,US,"946,498","321,410,710","934,896","358,638","178,213,692","330,896",Admin,"946,498","934,896","636,506","151,887,110","647,241"
06/15/2021,24,US,"1,240,847","311,886,674","1,137,572","439,571","174,674,144","420,366",Report,"1,240,847","1,137,572","849,028","145,768,367","760,915"
06/15/2021,24,LTC,"2,004","7,879,036","1,267","1,373","4,646,063",815,Admin,"2,004","1,267","1,198","3,186,915",770
06/14/2021,24,US,"881,925","320,464,212","962,560","329,442","177,855,054","337,577",Admin,"881,925","962,561","595,413","151,250,604","668,523"
06/14/2021,24,LTC,838,"7,877,032","1,278",445,"4,644,690",806,Admin,838,"1,279",449,"3,185,717",780
06/14/2021,24,US,"1,323,282","310,645,827","1,113,416","394,090","174,234,573","417,691",Report,"1,323,282","1,113,416","998,117","144,919,339","738,668"
06/14/2021,24,LTC,696,"7,864,363","1,168","-275,275","4,637,263","-38,654",Report,696,"1,168",0,0,0
06/13/2021,24,LTC,"2,154","7,863,667","1,150","1,493","4,912,538",707,Report,"2,154","1,150",0,0,0
06/13/2021,24,US,"381,804","319,582,287","984,025","114,477","177,525,612","343,584",Admin,"381,804","984,026","285,826","150,655,191","684,421"
06/13/2021,24,US,"1,209,817","309,322,545","1,097,710","448,772","173,840,483","429,609",Report,"1,209,817","1,097,710","802,145","143,921,222","707,414"
06/13/2021,24,LTC,47,"7,876,194","1,302",12,"4,644,245",809,Admin,47,"1,302",35,"3,185,268",797
06/12/2021,23,LTC,"2,241","7,861,513","1,321","1,398","4,911,045",727,Report,"2,241","1,321",0,0,0
06/12/2021,23,US,"870,968","319,200,483","1,000,913","284,076","177,411,135","352,072",Admin,"870,968","1,000,913","620,112","150,369,365","693,238"
06/12/2021,23,US,"1,602,933","308,112,728","1,120,571","633,361","173,391,711","445,652",Report,"1,602,933","1,120,571","1,023,547","143,119,077","715,196"
06/12/2021,23,LTC,74,"7,876,147","1,312",22,"4,644,233",822,Admin,74,"1,313",57,"3,185,233",808
06/11/2021,23,US,"1,195,869","318,329,515","1,025,379","427,491","177,127,059","362,601",Admin,"1,195,869","1,025,379","822,223","149,749,253","707,862"
06/11/2021,23,LTC,"1,466","7,876,073","1,318",855,"4,644,211",821,Admin,"1,466","1,318",846,"3,185,176",814
06/11/2021,23,US,"822,177","306,509,795","1,055,610","334,745","172,758,350","431,844",Report,"822,177","1,055,610","512,278","142,095,530","662,880"
06/11/2021,23,LTC,"1,726","7,859,272","1,339",896,"4,909,647",734,Report,"1,726","1,339",0,0,0
06/10/2021,23,US,"934,142","305,687,618","1,138,099","369,329","172,423,605","476,192",Report,"934,142","1,138,099","603,142","141,583,252","705,519"
06/10/2021,23,US,"1,135,185","317,133,646","1,049,018","408,549","176,699,568","373,417",Admin,"1,135,185","1,049,018","781,069","148,927,030","721,731"
06/10/2021,23,LTC,970,"7,857,546","1,155",662,"4,908,751",664,Report,970,"1,155",0,0,0
06/10/2021,23,LTC,"2,435","7,874,607","1,317","1,734","4,643,356",798,Admin,"2,435","1,317","1,586","3,184,330",825
06/09/2021,23,US,"829,809","304,753,476","1,120,083","322,692","172,054,276","474,263",Report,"829,809","1,120,083","538,153","140,980,110","689,265"
06/09/2021,23,LTC,"2,006","7,872,172","1,301","1,265","4,641,622",764,Admin,"2,006","1,301","1,222","3,182,744",808
06/09/2021,23,US,"1,132,025","315,998,461","1,059,812","393,599","176,291,019","381,320",Admin,"1,132,025","1,059,813","789,543","148,145,961","725,257"
06/09/2021,23,LTC,377,"7,856,576","1,147",239,"4,908,089",653,Report,377,"1,147",0,0,0
06/08/2021,23,US,"1,140,148","314,866,436","1,053,055","405,408","175,897,420","395,315",Admin,"1,140,148","1,053,055","785,477","147,356,418","705,981"
06/08/2021,23,LTC,15,"7,856,199","1,123",10,"4,907,850",642,Report,15,"1,123",0,0,0
06/08/2021,23,US,"1,071,750","303,923,667","1,074,204","420,846","171,731,584","463,122",Report,"1,071,750","1,074,204","693,296","140,441,957","653,504"
06/08/2021,23,LTC,"2,084","7,870,166","1,308","1,307","4,640,357",763,Admin,"2,084","1,308","1,265","3,181,522",830
06/07/2021,23,LTC,566,"7,856,184","1,186",254,"4,907,840",686,Report,566,"1,186",0,0,0
06/07/2021,23,LTC,"1,005","7,868,082","1,267",471,"4,639,050",705,Admin,"1,005","1,267",572,"3,180,257",838
06/07/2021,23,US,"1,213,339","302,851,917","994,370","477,517","171,310,738","440,468",Report,"1,213,339","994,370","779,338","139,748,661","593,561"
06/07/2021,23,US,"1,032,182","313,726,288","1,063,273","371,487","175,492,012","411,400",Admin,"1,032,182","1,063,273","706,701","146,570,941","701,036"
06/06/2021,23,LTC,"3,350","7,855,618","1,222","1,629","4,907,586",733,Report,"3,350","1,222",0,0,0
06/06/2021,23,LTC,120,"7,867,077","1,124",102,"4,638,579",638,Admin,120,"1,124",113,"3,179,685",757
06/06/2021,23,US,"1,369,848","301,638,578","958,533","561,071","170,833,221","442,750",Report,"1,369,848","958,533","856,621","138,969,323","554,572"
